Date,Category,Setting,Count
10/2020,Cancer,Ambulatory Surgery,1
12/2020,Cancer,Ambulatory Surgery,1
04/2021,Cancer,Ambulatory Surgery,1
05/2021,Cancer,Ambulatory Surgery,1
06/2021,Cancer,Ambulatory Surgery,1
07/2021,Cancer,Ambulatory Surgery,1
08/2021,Cancer,Ambulatory Surgery,1
10/2021,Cancer,Ambulatory Surgery,2
11/2021,Cancer,Ambulatory Surgery,2
01/2018,Cardiac Arrest,Ambulatory Surgery,4
02/2018,Cardiac Arrest,Ambulatory Surgery,3
03/2018,Cardiac Arrest,Ambulatory Surgery,2
04/2018,Cardiac Arrest,Ambulatory Surgery,4
05/2018,Cardiac Arrest,Ambulatory Surgery,3
06/2018,Cardiac Arrest,Ambulatory Surgery,5
07/2018,Cardiac Arrest,Ambulatory Surgery,2
08/2018,Cardiac Arrest,Ambulatory Surgery,2
09/2018,Cardiac Arrest,Ambulatory Surgery,2
10/2018,Cardiac Arrest,Ambulatory Surgery,4
12/2018,Cardiac Arrest,Ambulatory Surgery,3
01/2019,Cardiac Arrest,Ambulatory Surgery,2
02/2019,Cardiac Arrest,Ambulatory Surgery,1
03/2019,Cardiac Arrest,Ambulatory Surgery,2
04/2019,Cardiac Arrest,Ambulatory Surgery,4
05/2019,Cardiac Arrest,Ambulatory Surgery,4
06/2019,Cardiac Arrest,Ambulatory Surgery,2
07/2019,Cardiac Arrest,Ambulatory Surgery,1
08/2019,Cardiac Arrest,Ambulatory Surgery,3
09/2019,Cardiac Arrest,Ambulatory Surgery,1
10/2019,Cardiac Arrest,Ambulatory Surgery,2
01/2020,Cardiac Arrest,Ambulatory Surgery,1
02/2020,Cardiac Arrest,Ambulatory Surgery,2
03/2020,Cardiac Arrest,Ambulatory Surgery,2
04/2020,Cardiac Arrest,Ambulatory Surgery,4
05/2020,Cardiac Arrest,Ambulatory Surgery,2
06/2020,Cardiac Arrest,Ambulatory Surgery,1
08/2020,Cardiac Arrest,Ambulatory Surgery,1
09/2020,Cardiac Arrest,Ambulatory Surgery,1
10/2020,Cardiac Arrest,Ambulatory Surgery,4
11/2020,Cardiac Arrest,Ambulatory Surgery,3
12/2020,Cardiac Arrest,Ambulatory Surgery,4
01/2021,Cardiac Arrest,Ambulatory Surgery,4
02/2021,Cardiac Arrest,Ambulatory Surgery,5
03/2021,Cardiac Arrest,Ambulatory Surgery,4
04/2021,Cardiac Arrest,Ambulatory Surgery,4
05/2021,Cardiac Arrest,Ambulatory Surgery,3
06/2021,Cardiac Arrest,Ambulatory Surgery,4
07/2021,Cardiac Arrest,Ambulatory Surgery,4
08/2021,Cardiac Arrest,Ambulatory Surgery,1
09/2021,Cardiac Arrest,Ambulatory Surgery,1
10/2021,Cardiac Arrest,Ambulatory Surgery,3
11/2021,Cardiac Arrest,Ambulatory Surgery,5
12/2021,Cardiac Arrest,Ambulatory Surgery,3
03/2018,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
06/2018,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
07/2018,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
08/2018,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,2
10/2018,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
12/2018,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
01/2019,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
02/2019,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
06/2019,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
08/2019,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
09/2019,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
02/2020,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
03/2020,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,2
04/2020,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
08/2020,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
10/2020,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
11/2020,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,3
12/2020,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,3
02/2021,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
04/2021,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
08/2021,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
09/2021,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
10/2021,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
12/2021,Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,1
06/2020,COVID-19,Ambulatory Surgery,1
01/2021,COVID-19,Ambulatory Surgery,1
02/2021,COVID-19,Ambulatory Surgery,1
03/2021,COVID-19,Ambulatory Surgery,1
04/2018,Depression,Ambulatory Surgery,1
07/2018,Depression,Ambulatory Surgery,1
10/2018,Depression,Ambulatory Surgery,1
01/2019,Depression,Ambulatory Surgery,1
02/2019,Depression,Ambulatory Surgery,1
03/2019,Depression,Ambulatory Surgery,1
04/2019,Depression,Ambulatory Surgery,1
02/2020,Depression,Ambulatory Surgery,1
04/2020,Depression,Ambulatory Surgery,2
01/2021,Depression,Ambulatory Surgery,1
02/2021,Depression,Ambulatory Surgery,1
07/2021,Depression,Ambulatory Surgery,1
08/2021,Depression,Ambulatory Surgery,1
12/2021,Depression,Ambulatory Surgery,1
01/2018,Diabetes,Ambulatory Surgery,1
02/2018,Diabetes,Ambulatory Surgery,2
03/2018,Diabetes,Ambulatory Surgery,2
05/2018,Diabetes,Ambulatory Surgery,2
06/2018,Diabetes,Ambulatory Surgery,2
07/2018,Diabetes,Ambulatory Surgery,1
08/2018,Diabetes,Ambulatory Surgery,5
10/2018,Diabetes,Ambulatory Surgery,4
11/2018,Diabetes,Ambulatory Surgery,2
12/2018,Diabetes,Ambulatory Surgery,3
01/2019,Diabetes,Ambulatory Surgery,3
02/2019,Diabetes,Ambulatory Surgery,3
03/2019,Diabetes,Ambulatory Surgery,2
04/2019,Diabetes,Ambulatory Surgery,4
06/2019,Diabetes,Ambulatory Surgery,3
07/2019,Diabetes,Ambulatory Surgery,1
08/2019,Diabetes,Ambulatory Surgery,2
09/2019,Diabetes,Ambulatory Surgery,4
10/2019,Diabetes,Ambulatory Surgery,3
01/2020,Diabetes,Ambulatory Surgery,1
02/2020,Diabetes,Ambulatory Surgery,2
03/2020,Diabetes,Ambulatory Surgery,3
04/2020,Diabetes,Ambulatory Surgery,3
05/2020,Diabetes,Ambulatory Surgery,2
06/2020,Diabetes,Ambulatory Surgery,2
07/2020,Diabetes,Ambulatory Surgery,3
08/2020,Diabetes,Ambulatory Surgery,2
10/2020,Diabetes,Ambulatory Surgery,1
11/2020,Diabetes,Ambulatory Surgery,1
12/2020,Diabetes,Ambulatory Surgery,3
01/2021,Diabetes,Ambulatory Surgery,1
02/2021,Diabetes,Ambulatory Surgery,5
03/2021,Diabetes,Ambulatory Surgery,5
04/2021,Diabetes,Ambulatory Surgery,3
05/2021,Diabetes,Ambulatory Surgery,4
06/2021,Diabetes,Ambulatory Surgery,2
08/2021,Diabetes,Ambulatory Surgery,4
10/2021,Diabetes,Ambulatory Surgery,3
12/2021,Diabetes,Ambulatory Surgery,2
11/2019,Homeless,Ambulatory Surgery,1
01/2018,Hypertension,Ambulatory Surgery,4
02/2018,Hypertension,Ambulatory Surgery,5
03/2018,Hypertension,Ambulatory Surgery,6
04/2018,Hypertension,Ambulatory Surgery,3
05/2018,Hypertension,Ambulatory Surgery,5
06/2018,Hypertension,Ambulatory Surgery,3
07/2018,Hypertension,Ambulatory Surgery,2
08/2018,Hypertension,Ambulatory Surgery,12
09/2018,Hypertension,Ambulatory Surgery,5
10/2018,Hypertension,Ambulatory Surgery,4
11/2018,Hypertension,Ambulatory Surgery,5
12/2018,Hypertension,Ambulatory Surgery,2
01/2019,Hypertension,Ambulatory Surgery,5
02/2019,Hypertension,Ambulatory Surgery,4
03/2019,Hypertension,Ambulatory Surgery,5
04/2019,Hypertension,Ambulatory Surgery,7
05/2019,Hypertension,Ambulatory Surgery,3
06/2019,Hypertension,Ambulatory Surgery,7
07/2019,Hypertension,Ambulatory Surgery,2
08/2019,Hypertension,Ambulatory Surgery,7
09/2019,Hypertension,Ambulatory Surgery,6
10/2019,Hypertension,Ambulatory Surgery,4
11/2019,Hypertension,Ambulatory Surgery,1
12/2019,Hypertension,Ambulatory Surgery,2
01/2020,Hypertension,Ambulatory Surgery,2
02/2020,Hypertension,Ambulatory Surgery,1
03/2020,Hypertension,Ambulatory Surgery,9
04/2020,Hypertension,Ambulatory Surgery,5
05/2020,Hypertension,Ambulatory Surgery,2
06/2020,Hypertension,Ambulatory Surgery,3
07/2020,Hypertension,Ambulatory Surgery,4
08/2020,Hypertension,Ambulatory Surgery,2
09/2020,Hypertension,Ambulatory Surgery,3
10/2020,Hypertension,Ambulatory Surgery,6
11/2020,Hypertension,Ambulatory Surgery,7
12/2020,Hypertension,Ambulatory Surgery,6
01/2021,Hypertension,Ambulatory Surgery,3
02/2021,Hypertension,Ambulatory Surgery,7
03/2021,Hypertension,Ambulatory Surgery,6
04/2021,Hypertension,Ambulatory Surgery,5
05/2021,Hypertension,Ambulatory Surgery,6
06/2021,Hypertension,Ambulatory Surgery,5
07/2021,Hypertension,Ambulatory Surgery,3
08/2021,Hypertension,Ambulatory Surgery,3
09/2021,Hypertension,Ambulatory Surgery,1
10/2021,Hypertension,Ambulatory Surgery,4
11/2021,Hypertension,Ambulatory Surgery,5
12/2021,Hypertension,Ambulatory Surgery,9
12/2020,Mood Disorders (Excluding Depression),Ambulatory Surgery,1
06/2021,Mood Disorders (Excluding Depression),Ambulatory Surgery,1
03/2020,Non-Mood Psychotic Disorders,Ambulatory Surgery,1
07/2021,Non-Mood Psychotic Disorders,Ambulatory Surgery,1
01/2018,Obesity,Ambulatory Surgery,2
02/2018,Obesity,Ambulatory Surgery,1
03/2018,Obesity,Ambulatory Surgery,1
04/2018,Obesity,Ambulatory Surgery,1
06/2018,Obesity,Ambulatory Surgery,2
08/2018,Obesity,Ambulatory Surgery,2
10/2018,Obesity,Ambulatory Surgery,1
11/2018,Obesity,Ambulatory Surgery,2
03/2019,Obesity,Ambulatory Surgery,1
05/2019,Obesity,Ambulatory Surgery,1
07/2019,Obesity,Ambulatory Surgery,1
08/2019,Obesity,Ambulatory Surgery,3
09/2019,Obesity,Ambulatory Surgery,2
12/2019,Obesity,Ambulatory Surgery,1
01/2020,Obesity,Ambulatory Surgery,1
02/2020,Obesity,Ambulatory Surgery,1
03/2020,Obesity,Ambulatory Surgery,2
05/2020,Obesity,Ambulatory Surgery,1
06/2020,Obesity,Ambulatory Surgery,2
07/2020,Obesity,Ambulatory Surgery,2
10/2020,Obesity,Ambulatory Surgery,1
12/2020,Obesity,Ambulatory Surgery,1
01/2021,Obesity,Ambulatory Surgery,1
02/2021,Obesity,Ambulatory Surgery,3
04/2021,Obesity,Ambulatory Surgery,1
05/2021,Obesity,Ambulatory Surgery,2
06/2021,Obesity,Ambulatory Surgery,2
07/2021,Obesity,Ambulatory Surgery,2
10/2021,Obesity,Ambulatory Surgery,3
04/2018,Pneumonia,Ambulatory Surgery,1
01/2020,Pneumonia,Ambulatory Surgery,1
04/2020,Pneumonia,Ambulatory Surgery,1
06/2020,Pneumonia,Ambulatory Surgery,1
01/2021,Pneumonia,Ambulatory Surgery,2
02/2021,Pneumonia,Ambulatory Surgery,2
06/2021,Pneumonia,Ambulatory Surgery,2
02/2018,Respiratory Arrest/Failure,Ambulatory Surgery,1
03/2018,Respiratory Arrest/Failure,Ambulatory Surgery,1
04/2018,Respiratory Arrest/Failure,Ambulatory Surgery,2
05/2018,Respiratory Arrest/Failure,Ambulatory Surgery,3
06/2018,Respiratory Arrest/Failure,Ambulatory Surgery,1
07/2018,Respiratory Arrest/Failure,Ambulatory Surgery,1
08/2018,Respiratory Arrest/Failure,Ambulatory Surgery,1
09/2018,Respiratory Arrest/Failure,Ambulatory Surgery,1
11/2018,Respiratory Arrest/Failure,Ambulatory Surgery,1
12/2018,Respiratory Arrest/Failure,Ambulatory Surgery,1
01/2019,Respiratory Arrest/Failure,Ambulatory Surgery,2
02/2019,Respiratory Arrest/Failure,Ambulatory Surgery,2
03/2019,Respiratory Arrest/Failure,Ambulatory Surgery,1
04/2019,Respiratory Arrest/Failure,Ambulatory Surgery,1
05/2019,Respiratory Arrest/Failure,Ambulatory Surgery,1
06/2019,Respiratory Arrest/Failure,Ambulatory Surgery,1
07/2019,Respiratory Arrest/Failure,Ambulatory Surgery,1
10/2019,Respiratory Arrest/Failure,Ambulatory Surgery,2
01/2020,Respiratory Arrest/Failure,Ambulatory Surgery,1
02/2020,Respiratory Arrest/Failure,Ambulatory Surgery,1
03/2020,Respiratory Arrest/Failure,Ambulatory Surgery,1
04/2020,Respiratory Arrest/Failure,Ambulatory Surgery,4
07/2020,Respiratory Arrest/Failure,Ambulatory Surgery,1
08/2020,Respiratory Arrest/Failure,Ambulatory Surgery,1
10/2020,Respiratory Arrest/Failure,Ambulatory Surgery,3
12/2020,Respiratory Arrest/Failure,Ambulatory Surgery,2
01/2021,Respiratory Arrest/Failure,Ambulatory Surgery,3
02/2021,Respiratory Arrest/Failure,Ambulatory Surgery,1
03/2021,Respiratory Arrest/Failure,Ambulatory Surgery,3
04/2021,Respiratory Arrest/Failure,Ambulatory Surgery,1
05/2021,Respiratory Arrest/Failure,Ambulatory Surgery,2
06/2021,Respiratory Arrest/Failure,Ambulatory Surgery,2
07/2021,Respiratory Arrest/Failure,Ambulatory Surgery,2
08/2021,Respiratory Arrest/Failure,Ambulatory Surgery,1
09/2021,Respiratory Arrest/Failure,Ambulatory Surgery,1
10/2021,Respiratory Arrest/Failure,Ambulatory Surgery,3
11/2021,Respiratory Arrest/Failure,Ambulatory Surgery,2
12/2021,Respiratory Arrest/Failure,Ambulatory Surgery,2
05/2018,Sepsis,Ambulatory Surgery,1
09/2018,Sepsis,Ambulatory Surgery,1
12/2018,Sepsis,Ambulatory Surgery,1
04/2019,Sepsis,Ambulatory Surgery,1
05/2019,Sepsis,Ambulatory Surgery,1
07/2019,Sepsis,Ambulatory Surgery,1
08/2019,Sepsis,Ambulatory Surgery,1
12/2019,Sepsis,Ambulatory Surgery,1
01/2020,Sepsis,Ambulatory Surgery,1
04/2020,Sepsis,Ambulatory Surgery,1
07/2020,Sepsis,Ambulatory Surgery,1
12/2020,Sepsis,Ambulatory Surgery,1
01/2021,Sepsis,Ambulatory Surgery,1
02/2021,Sepsis,Ambulatory Surgery,3
06/2021,Sepsis,Ambulatory Surgery,1
07/2021,Sepsis,Ambulatory Surgery,1
08/2021,Sepsis,Ambulatory Surgery,1
09/2021,Sepsis,Ambulatory Surgery,1
12/2021,Sepsis,Ambulatory Surgery,1
01/2018,Substance Use Disorders,Ambulatory Surgery,1
02/2018,Substance Use Disorders,Ambulatory Surgery,1
05/2018,Substance Use Disorders,Ambulatory Surgery,3
06/2018,Substance Use Disorders,Ambulatory Surgery,1
08/2018,Substance Use Disorders,Ambulatory Surgery,1
09/2018,Substance Use Disorders,Ambulatory Surgery,1
10/2018,Substance Use Disorders,Ambulatory Surgery,1
12/2018,Substance Use Disorders,Ambulatory Surgery,1
01/2019,Substance Use Disorders,Ambulatory Surgery,1
02/2019,Substance Use Disorders,Ambulatory Surgery,1
06/2019,Substance Use Disorders,Ambulatory Surgery,2
08/2019,Substance Use Disorders,Ambulatory Surgery,1
10/2019,Substance Use Disorders,Ambulatory Surgery,1
11/2019,Substance Use Disorders,Ambulatory Surgery,1
08/2020,Substance Use Disorders,Ambulatory Surgery,1
10/2020,Substance Use Disorders,Ambulatory Surgery,1
11/2020,Substance Use Disorders,Ambulatory Surgery,1
02/2021,Substance Use Disorders,Ambulatory Surgery,3
04/2021,Substance Use Disorders,Ambulatory Surgery,2
05/2021,Substance Use Disorders,Ambulatory Surgery,1
06/2021,Substance Use Disorders,Ambulatory Surgery,2
11/2021,Substance Use Disorders,Ambulatory Surgery,1
12/2021,Substance Use Disorders,Ambulatory Surgery,1
09/2019,Unspecified Mental Disorders,Ambulatory Surgery,1
01/2018,Anxiety,Emergency Dept,30
02/2018,Anxiety,Emergency Dept,18
03/2018,Anxiety,Emergency Dept,40
04/2018,Anxiety,Emergency Dept,28
05/2018,Anxiety,Emergency Dept,36
06/2018,Anxiety,Emergency Dept,21
07/2018,Anxiety,Emergency Dept,18
08/2018,Anxiety,Emergency Dept,25
09/2018,Anxiety,Emergency Dept,27
10/2018,Anxiety,Emergency Dept,24
11/2018,Anxiety,Emergency Dept,27
12/2018,Anxiety,Emergency Dept,35
01/2019,Anxiety,Emergency Dept,28
02/2019,Anxiety,Emergency Dept,22
03/2019,Anxiety,Emergency Dept,37
04/2019,Anxiety,Emergency Dept,30
05/2019,Anxiety,Emergency Dept,28
06/2019,Anxiety,Emergency Dept,18
07/2019,Anxiety,Emergency Dept,24
08/2019,Anxiety,Emergency Dept,31
09/2019,Anxiety,Emergency Dept,28
10/2019,Anxiety,Emergency Dept,23
11/2019,Anxiety,Emergency Dept,30
12/2019,Anxiety,Emergency Dept,38
01/2020,Anxiety,Emergency Dept,33
02/2020,Anxiety,Emergency Dept,27
03/2020,Anxiety,Emergency Dept,40
04/2020,Anxiety,Emergency Dept,23
05/2020,Anxiety,Emergency Dept,24
06/2020,Anxiety,Emergency Dept,30
07/2020,Anxiety,Emergency Dept,40
08/2020,Anxiety,Emergency Dept,43
09/2020,Anxiety,Emergency Dept,37
10/2020,Anxiety,Emergency Dept,38
11/2020,Anxiety,Emergency Dept,36
12/2020,Anxiety,Emergency Dept,41
01/2021,Anxiety,Emergency Dept,37
02/2021,Anxiety,Emergency Dept,35
03/2021,Anxiety,Emergency Dept,24
04/2021,Anxiety,Emergency Dept,22
05/2021,Anxiety,Emergency Dept,20
06/2021,Anxiety,Emergency Dept,22
07/2021,Anxiety,Emergency Dept,29
08/2021,Anxiety,Emergency Dept,24
09/2021,Anxiety,Emergency Dept,28
10/2021,Anxiety,Emergency Dept,20
11/2021,Anxiety,Emergency Dept,28
12/2021,Anxiety,Emergency Dept,28
01/2018,Asthma,Emergency Dept,51
02/2018,Asthma,Emergency Dept,32
03/2018,Asthma,Emergency Dept,41
04/2018,Asthma,Emergency Dept,36
05/2018,Asthma,Emergency Dept,27
06/2018,Asthma,Emergency Dept,30
07/2018,Asthma,Emergency Dept,28
08/2018,Asthma,Emergency Dept,23
09/2018,Asthma,Emergency Dept,22
10/2018,Asthma,Emergency Dept,26
11/2018,Asthma,Emergency Dept,34
12/2018,Asthma,Emergency Dept,38
01/2019,Asthma,Emergency Dept,40
02/2019,Asthma,Emergency Dept,32
03/2019,Asthma,Emergency Dept,43
04/2019,Asthma,Emergency Dept,32
05/2019,Asthma,Emergency Dept,24
06/2019,Asthma,Emergency Dept,35
07/2019,Asthma,Emergency Dept,34
08/2019,Asthma,Emergency Dept,38
09/2019,Asthma,Emergency Dept,17
10/2019,Asthma,Emergency Dept,25
11/2019,Asthma,Emergency Dept,29
12/2019,Asthma,Emergency Dept,26
01/2020,Asthma,Emergency Dept,38
02/2020,Asthma,Emergency Dept,41
03/2020,Asthma,Emergency Dept,44
04/2020,Asthma,Emergency Dept,49
05/2020,Asthma,Emergency Dept,37
06/2020,Asthma,Emergency Dept,41
07/2020,Asthma,Emergency Dept,65
08/2020,Asthma,Emergency Dept,51
09/2020,Asthma,Emergency Dept,27
10/2020,Asthma,Emergency Dept,36
11/2020,Asthma,Emergency Dept,35
12/2020,Asthma,Emergency Dept,66
01/2021,Asthma,Emergency Dept,71
02/2021,Asthma,Emergency Dept,38
03/2021,Asthma,Emergency Dept,31
04/2021,Asthma,Emergency Dept,21
05/2021,Asthma,Emergency Dept,38
06/2021,Asthma,Emergency Dept,28
07/2021,Asthma,Emergency Dept,29
08/2021,Asthma,Emergency Dept,34
09/2021,Asthma,Emergency Dept,41
10/2021,Asthma,Emergency Dept,34
11/2021,Asthma,Emergency Dept,45
12/2021,Asthma,Emergency Dept,33
02/2018,Behavioral Syndromes,Emergency Dept,1
04/2018,Behavioral Syndromes,Emergency Dept,1
05/2018,Behavioral Syndromes,Emergency Dept,1
09/2018,Behavioral Syndromes,Emergency Dept,1
02/2019,Behavioral Syndromes,Emergency Dept,1
03/2019,Behavioral Syndromes,Emergency Dept,1
05/2019,Behavioral Syndromes,Emergency Dept,1
07/2019,Behavioral Syndromes,Emergency Dept,2
01/2020,Behavioral Syndromes,Emergency Dept,1
04/2020,Behavioral Syndromes,Emergency Dept,2
06/2020,Behavioral Syndromes,Emergency Dept,1
01/2021,Behavioral Syndromes,Emergency Dept,1
07/2021,Behavioral Syndromes,Emergency Dept,1
08/2021,Behavioral Syndromes,Emergency Dept,1
09/2021,Behavioral Syndromes,Emergency Dept,1
10/2021,Behavioral Syndromes,Emergency Dept,1
01/2018,Cancer,Emergency Dept,100
02/2018,Cancer,Emergency Dept,79
03/2018,Cancer,Emergency Dept,97
04/2018,Cancer,Emergency Dept,85
05/2018,Cancer,Emergency Dept,103
06/2018,Cancer,Emergency Dept,78
07/2018,Cancer,Emergency Dept,84
08/2018,Cancer,Emergency Dept,80
09/2018,Cancer,Emergency Dept,75
10/2018,Cancer,Emergency Dept,96
11/2018,Cancer,Emergency Dept,89
12/2018,Cancer,Emergency Dept,99
01/2019,Cancer,Emergency Dept,121
02/2019,Cancer,Emergency Dept,103
03/2019,Cancer,Emergency Dept,92
04/2019,Cancer,Emergency Dept,102
05/2019,Cancer,Emergency Dept,103
06/2019,Cancer,Emergency Dept,84
07/2019,Cancer,Emergency Dept,90
08/2019,Cancer,Emergency Dept,97
09/2019,Cancer,Emergency Dept,96
10/2019,Cancer,Emergency Dept,98
11/2019,Cancer,Emergency Dept,87
12/2019,Cancer,Emergency Dept,107
01/2020,Cancer,Emergency Dept,113
02/2020,Cancer,Emergency Dept,105
03/2020,Cancer,Emergency Dept,125
04/2020,Cancer,Emergency Dept,84
05/2020,Cancer,Emergency Dept,87
06/2020,Cancer,Emergency Dept,76
07/2020,Cancer,Emergency Dept,97
08/2020,Cancer,Emergency Dept,98
09/2020,Cancer,Emergency Dept,72
10/2020,Cancer,Emergency Dept,91
11/2020,Cancer,Emergency Dept,119
12/2020,Cancer,Emergency Dept,129
01/2021,Cancer,Emergency Dept,114
02/2021,Cancer,Emergency Dept,97
03/2021,Cancer,Emergency Dept,90
04/2021,Cancer,Emergency Dept,81
05/2021,Cancer,Emergency Dept,89
06/2021,Cancer,Emergency Dept,86
07/2021,Cancer,Emergency Dept,111
08/2021,Cancer,Emergency Dept,121
09/2021,Cancer,Emergency Dept,86
10/2021,Cancer,Emergency Dept,118
11/2021,Cancer,Emergency Dept,102
12/2021,Cancer,Emergency Dept,106
01/2018,Cardiac Arrest,Emergency Dept,1473
02/2018,Cardiac Arrest,Emergency Dept,1125
03/2018,Cardiac Arrest,Emergency Dept,1261
04/2018,Cardiac Arrest,Emergency Dept,1145
05/2018,Cardiac Arrest,Emergency Dept,1058
06/2018,Cardiac Arrest,Emergency Dept,1036
07/2018,Cardiac Arrest,Emergency Dept,1117
08/2018,Cardiac Arrest,Emergency Dept,1057
09/2018,Cardiac Arrest,Emergency Dept,1016
10/2018,Cardiac Arrest,Emergency Dept,1107
11/2018,Cardiac Arrest,Emergency Dept,1161
12/2018,Cardiac Arrest,Emergency Dept,1254
01/2019,Cardiac Arrest,Emergency Dept,1276
02/2019,Cardiac Arrest,Emergency Dept,1180
03/2019,Cardiac Arrest,Emergency Dept,1267
04/2019,Cardiac Arrest,Emergency Dept,1014
05/2019,Cardiac Arrest,Emergency Dept,1107
06/2019,Cardiac Arrest,Emergency Dept,1065
07/2019,Cardiac Arrest,Emergency Dept,991
08/2019,Cardiac Arrest,Emergency Dept,1000
09/2019,Cardiac Arrest,Emergency Dept,957
10/2019,Cardiac Arrest,Emergency Dept,1069
11/2019,Cardiac Arrest,Emergency Dept,1080
12/2019,Cardiac Arrest,Emergency Dept,1248
01/2020,Cardiac Arrest,Emergency Dept,1258
02/2020,Cardiac Arrest,Emergency Dept,1082
03/2020,Cardiac Arrest,Emergency Dept,1177
04/2020,Cardiac Arrest,Emergency Dept,1197
05/2020,Cardiac Arrest,Emergency Dept,1203
06/2020,Cardiac Arrest,Emergency Dept,1143
07/2020,Cardiac Arrest,Emergency Dept,1417
08/2020,Cardiac Arrest,Emergency Dept,1317
09/2020,Cardiac Arrest,Emergency Dept,1150
10/2020,Cardiac Arrest,Emergency Dept,1235
11/2020,Cardiac Arrest,Emergency Dept,1323
12/2020,Cardiac Arrest,Emergency Dept,1950
01/2021,Cardiac Arrest,Emergency Dept,1874
02/2021,Cardiac Arrest,Emergency Dept,1290
03/2021,Cardiac Arrest,Emergency Dept,1247
04/2021,Cardiac Arrest,Emergency Dept,1064
05/2021,Cardiac Arrest,Emergency Dept,1047
06/2021,Cardiac Arrest,Emergency Dept,1043
07/2021,Cardiac Arrest,Emergency Dept,1113
08/2021,Cardiac Arrest,Emergency Dept,1261
09/2021,Cardiac Arrest,Emergency Dept,1169
10/2021,Cardiac Arrest,Emergency Dept,1245
11/2021,Cardiac Arrest,Emergency Dept,1155
12/2021,Cardiac Arrest,Emergency Dept,1357
01/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,151
02/2018,Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,120
