Category,Setting,Diagnosis,Year,Month,Date,Count
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,2/2020,2
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,3/2020,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,4/2020,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,5,5/2020,2
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,6,6/2020,2
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,7/2020,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,8/2020,2
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,10/2020,1
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,11,11/2020,1
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,12/2020,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,1,1/2021,1
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,2/2021,5
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,3,3/2021,5
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,4/2021,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,5/2021,4
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,6/2021,2
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,8/2021,4
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,10/2021,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,12/2021,2
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,1,1/2020,2
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,2/2020,1
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,3/2020,9
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,4/2020,5
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,5,5/2020,2
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,6,6/2020,3
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,7/2020,4
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,8/2020,2
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,9,9/2020,3
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,10/2020,6
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,11,11/2020,7
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,12/2020,5
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,1,1/2021,3
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,2/2021,7
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,3,3/2021,6
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,4/2021,4
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,5/2021,5
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,6/2021,5
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,7/2021,3
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,8/2021,3
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,9,9/2021,1
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,10/2021,4
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,11,11/2021,5
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,12/2021,8
Mood Disorders (Excluding Depression),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,12/2020,1
Mood Disorders (Excluding Depression),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,6/2021,1
Non-Mood Psychotic Disorders,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,3/2020,1
Non-Mood Psychotic Disorders,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,7/2021,1
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,1,1/2020,1
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,2/2020,1
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,3/2020,2
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,5,5/2020,1
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,6,6/2020,2
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,7/2020,2
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,10/2020,1
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,12/2020,1
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,1,1/2021,1
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,2/2021,3
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,4/2021,1
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,5/2021,2
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,6/2021,2
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,7/2021,2
Obesity,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,10/2021,3
Pneumonia,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,4/2020,1
Pneumonia,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,6,6/2020,1
Pneumonia,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,1,1/2021,2
Pneumonia,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,2/2021,2
Pneumonia,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,6/2021,2
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,1,1/2020,1
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,2/2020,1
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,3/2020,1
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,4/2020,4
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,7/2020,1
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,8/2020,1
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,10/2020,3
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,12/2020,2
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,1,1/2021,3
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,2/2021,1
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,3,3/2021,3
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,4/2021,1
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,5/2021,2
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,6/2021,2
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,7/2021,2
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,8/2021,1
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,9,9/2021,1
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,10/2021,3
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,11,11/2021,2
Respiratory Arrest/Failure,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,12/2021,2
Sepsis,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,1,1/2020,1
Sepsis,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,4/2020,1
Sepsis,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,7/2020,1
Sepsis,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,12/2020,1
Sepsis,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,2/2021,2
Sepsis,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,7/2021,1
Sepsis,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,8/2021,1
Sepsis,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,9,9/2021,1
Sepsis,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,12/2021,1
Substance Use Disorders,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,8/2020,1
Substance Use Disorders,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,10/2020,1
Substance Use Disorders,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,11,11/2020,1
Substance Use Disorders,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,2/2021,3
Substance Use Disorders,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,4/2021,2
Substance Use Disorders,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,5/2021,1
Substance Use Disorders,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,6/2021,2
Substance Use Disorders,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,11,11/2021,1
Substance Use Disorders,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,12/2021,1
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,1,1/2020,32
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,2,2/2020,27
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,3,3/2020,40
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,4,4/2020,21
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,5,5/2020,22
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,6,6/2020,27
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,7,7/2020,38
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,8,8/2020,41
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,9,9/2020,36
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,10,10/2020,38
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,11,11/2020,35
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2020,12,12/2020,32
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,1,1/2021,31
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,2,2/2021,33
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,3,3/2021,23
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,4,4/2021,22
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,5,5/2021,19
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,6,6/2021,21
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,7,7/2021,28
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,8,8/2021,22
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,9,9/2021,27
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,10,10/2021,18
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,11,11/2021,25
Anxiety,Emergency Dept,Secondary (COVID-19 Not Primary),2021,12,12/2021,27
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,1,1/2020,37
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,2,2/2020,41
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,3,3/2020,44
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,4,4/2020,48
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,5,5/2020,36
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,6,6/2020,41
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,7,7/2020,64
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,8,8/2020,51
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,9,9/2020,26
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,10,10/2020,36
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,11,11/2020,33
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2020,12,12/2020,53
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,1,1/2021,55
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,2,2/2021,35
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,3,3/2021,31
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,4,4/2021,20
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,5,5/2021,38
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,6,6/2021,28
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,7,7/2021,27
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,8,8/2021,32
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,9,9/2021,39
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,10,10/2021,33
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,11,11/2021,43
Asthma,Emergency Dept,Secondary (COVID-19 Not Primary),2021,12,12/2021,32
Behavioral Syndromes,Emergency Dept,Secondary (COVID-19 Not Primary),2020,1,1/2020,1
Behavioral Syndromes,Emergency Dept,Secondary (COVID-19 Not Primary),2020,4,4/2020,2
Behavioral Syndromes,Emergency Dept,Secondary (COVID-19 Not Primary),2020,6,6/2020,1
Behavioral Syndromes,Emergency Dept,Secondary (COVID-19 Not Primary),2021,1,1/2021,1
Behavioral Syndromes,Emergency Dept,Secondary (COVID-19 Not Primary),2021,7,7/2021,1
Behavioral Syndromes,Emergency Dept,Secondary (COVID-19 Not Primary),2021,8,8/2021,1
Behavioral Syndromes,Emergency Dept,Secondary (COVID-19 Not Primary),2021,9,9/2021,1
Behavioral Syndromes,Emergency Dept,Secondary (COVID-19 Not Primary),2021,10,10/2021,1
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,1,1/2020,110
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,2,2/2020,96
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,3,3/2020,116
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,4,4/2020,83
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,5,5/2020,84
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,6,6/2020,69
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,7,7/2020,90
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,8,8/2020,90
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,9,9/2020,68
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,10,10/2020,85
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,11,11/2020,115
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2020,12,12/2020,113
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,1,1/2021,103
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,2,2/2021,89
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,3,3/2021,87
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,4,4/2021,74
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,5,5/2021,84
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,6,6/2021,80
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,7,7/2021,101
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,8,8/2021,101
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,9,9/2021,82
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,10,10/2021,110
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,11,11/2021,93
Cancer,Emergency Dept,Secondary (COVID-19 Not Primary),2021,12,12/2021,95
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,1,1/2020,177
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,2,2/2020,159
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,3,3/2020,178
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,4,4/2020,212
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,5,5/2020,206
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,6,6/2020,190
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,7,7/2020,241
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,8,8/2020,219
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,9,9/2020,200
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,10,10/2020,245
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,11,11/2020,265
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2020,12,12/2020,314
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,1,1/2021,320
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,2,2/2021,227
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,3,3/2021,217
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,4,4/2021,160
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,5,5/2021,215
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,6,6/2021,170
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,7,7/2021,235
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,8,8/2021,224
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,9,9/2021,229
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,10,10/2021,234
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,11,11/2021,199
Cardiac Arrest,Emergency Dept,Secondary (COVID-19 Not Primary),2021,12,12/2021,250
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,1,1/2020,108
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,2,2/2020,84
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,3,3/2020,112
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,4,4/2020,111
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,5,5/2020,110
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,6,6/2020,96
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,7,7/2020,82
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,8,8/2020,115
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,9,9/2020,82
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,10,10/2020,92
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,11,11/2020,102
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2020,12,12/2020,130
Chronic Obstructive Pulmonary Disease (COPD),Emergency Dept,Secondary (COVID-19 Not Primary),2021,1,1/2021,118
